public,air-cla-j24-a,SG934ZV021,public,Radio 1,00:0f:61:f4:f6:f1
public,air-cla-j24-a,SG934ZV021,public,Radio 2,00:0f:61:1a:18:21
public,air-cla-j33-a,SG935ZV01F,public,Radio 1,00:0f:61:f4:f1:d1
public,air-cla-j33-a,SG935ZV01F,public,Radio 2,00:0f:61:1a:1d:41
public,air-cld-a1-a,SG932ZV065,public,Radio 2,00:0f:61:1a:12:21
public,air-clp-d6-a,B041-00130,public,Radio 2,00:03:52:36:50:b1
public,air-clt-a13-a,SG032ZVW9H,public,Radio 2,00:0f:61:5a:5e:61
public,air-clu-c4-a,K106-00350,public,Radio 2,00:03:52:5c:24:81
public,air-clu-d3-a,K116-00222,public,Radio 2,00:03:52:5c:94:a1
public,air-clu-e5-a,K098-00444,public,Radio 2,00:03:52:5c:67:b1
public,air-clv-a4-a,SG933ZV07F,public,Radio 2,00:0f:61:1a:12:41
public,air-clv-b4-a,SG032ZVWFC,public,Radio 2,00:0f:61:5d:5a:b1
public,air-clv-d4-a,K106-00421,public,Radio 2,00:03:52:5c:27:91
public,air-clv-e4-a,K106-00239,public,Radio 2,00:03:52:5c:26:f1
public,air-clw-a3-a,SG003ZVWW0,public,Radio 2,00:0f:61:56:b6:e1
public,air-clw-b2-a,SG003ZVX54,public,Radio 2,00:0f:61:52:af:f1
public,air-clw-c2-a,SG946ZVX1P,public,Radio 2,00:0f:61:57:0d:31
public,air-cnb-d102-1-a,SG933ZV04Y,public,Radio 2,00:0f:61:1a:12:11
public,air-cnb-d102-1-b,SG032ZVWB0,public,Radio 2,00:0f:61:5d:5b:d1
public,air-cnb-e100-3-a,SG934ZV05N,public,Radio 2,00:0f:61:1a:1d:51
public,air-cnb-e104-1-a,SG935ZV035,public,Radio 2,00:0f:61:1a:1c:91
public,air-cnb-e109-a,SG935ZV02Z,public,Radio 2,00:0f:61:1a:1f:21
public,air-cnb-e123-a,R062-00290,public,Radio 2,00:03:52:1c:12:b1
public,air-cnb-e129-a,B006-00909,public,Radio 2,00:03:52:29:4c:01
public,air-cnb-e138-a,B009-00717,public,Radio 2,00:03:52:29:a4:e1
public,air-cnb-f100-3-a,SG934ZV050,public,Radio 2,00:0f:61:1a:18:b1
public,air-cnb-f122-a,B006-00947,public,Radio 2,00:03:52:29:62:41
public,air-cnb-f139-a,B006-00892,public,Radio 2,00:03:52:29:4a:51
public,air-cnb-g100-3-a,SG935ZV09K,public,Radio 2,00:0f:61:1a:0b:21
public,air-cnb-g105-a,SG935ZV0LP,public,Radio 2,00:0f:61:1a:21:61
public,air-cnb-g109-a,SG935ZV0B1,public,Radio 2,00:0f:61:1a:0b:01
public,air-cnb-h100-3-a,SG935ZV09S,public,Radio 2,00:0f:61:1a:0a:e1
public,air-cnb-h103-2-a,SG933ZV07H,public,Radio 2,00:0f:61:1a:0b:61
public,air-cnb-h109-a,SG935ZV09F,public,Radio 2,00:0f:61:1a:12:71
public,air-eta-f5-a,SG032ZVWGM,public,Radio 2,00:0f:61:5a:59:a1
public,air-eta-f5-b,SG003ZVX5W,public,Radio 2,00:0f:61:4f:b7:51
public,air-eta-f5-c,SG032ZVW0J,public,Radio 2,00:0f:61:5d:57:51
public,air-eta-f5-d,SG032ZVW7Z,public,Radio 2,00:0f:61:5a:d9:71
public,air-etf-b104-a,K098-00500,public,Radio 2,00:03:52:5c:22:a1
public,air-etf-b107-a,K106-00257,public,Radio 2,00:03:52:5c:26:a1
public,air-etf-b5-a,K098-00418,public,Radio 2,00:03:52:5c:38:51
public,air-etf-b8-a,K091-00086,public,Radio 2,00:03:52:5b:2b:21
public,air-etf-c1-a,SG003ZVX5M,public,Radio 2,00:0f:61:4f:b7:c1
public,air-etf-c1-b,SG003ZVX3G,public,Radio 2,00:0f:61:52:b0:71
public,air-etf-c108-a,K106-00382,public,Radio 2,00:03:52:5c:33:c1
public,air-etf-c112-a,K098-00438,public,Radio 2,00:03:52:5c:22:21
public,air-etf-d103-a,K106-00497,public,Radio 2,00:03:52:5c:33:d1
public,air-etf-d107-a,K106-00211,public,Radio 2,00:03:52:5c:21:31
public,air-etf-d110-a,K106-00286,public,Radio 2,00:03:52:5c:34:41
public,air-etf-d115-a,K106-00288,public,Radio 2,00:03:52:5c:34:71
public,air-etf-d8-a,K083-00088,public,Radio 2,00:03:52:5c:55:51
public,air-etf-e1-a,SG003ZVWZY,public,Radio 2,00:0f:61:4f:3e:31
public,air-etf-e1-b,SG002ZVXTQ,public,Radio 2,00:0f:61:50:ac:01
public,air-etf-e102-a,K098-00401,public,Radio 2,00:03:52:5c:22:c1
public,air-etf-e108-a,K106-00261,public,Radio 2,00:03:52:5c:2c:91
public,air-etf-e117-a,K106-00095,public,Radio 2,00:03:52:5b:ef:a1
public,air-etf-e120-a,K106-00063,public,Radio 2,00:03:52:5c:21:51
public,air-etf-f102-a,K106-00238,public,Radio 2,00:03:52:5c:24:31
public,air-etf-f109-a,K106-00159,public,Radio 2,00:03:52:5b:e3:41
public,air-etf-z2-1-a,K107-00005,public,Radio 2,00:03:52:5c:34:a1
